Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
Kyle Singler,Kyle Singler,SF,DET,"2,337",26,8-Jun,230,Tall Spot-up Wings,0.842,A-,0.746,B+,0.948,A,0.549,C+,0.719,B,0.138,F,0.834,A-,0.431,C-,0.599,C+,0.567,C+,0.118,F,0.544,Low,0.1385,Low,2013-14,Wing
Gerald Green,Gerald Green,SG,PHO,"2,330",28,8-Jun,210,Glue Guys,0.979,A,0.981,A,0.9,A-,0.83,A-,0.505,C,0.704,B,0.861,A-,0.45,C-,0.511,C,0.315,D,0.445,C-,0.796,Medium,0.3962,Medium,2013-14,Wing
Darren Collison,Darren Collison,PG,LAC,"2,318",26,6-0,175,Primary Creators,0.797,B+,0.871,A-,0.813,A-,0.71,B,0.243,D-,0.717,B,0.164,F,0.733,B,0.276,D,0.408,C-,0.095,F,0.79,Medium,0.6161,High,2013-14,Guard
Terrence Ross,Terrence Ross,SG,TOR,"2,317",23,6-Jun,195,Spot-up Wings,0.969,A,0.94,A,0.846,A-,0.381,D+,0.356,D+,0.321,D,0.43,C-,0.505,C,0.585,C+,0.344,D+,0.542,C+,0.62,Medium,0.3023,Medium,2013-14,Wing
Channing Frye,Channing Frye,PF,PHO,"2,312",31,11-Jun,245,Pick + Pop Bigs,0.853,A-,0.757,B+,0.805,A-,0.401,C-,0.802,A-,0.239,D-,0.925,A,0.399,D+,0.705,B,0.586,C+,0.592,C+,0.677,Medium,0.1997,Low,2013-14,Big
James Anderson,James Anderson,SG,PHI,"2,309",25,6-Jun,210,Glue Guys,0.701,B,0.929,A,0.728,B,0.682,B,0.491,C,0.511,C,0.281,D,0.597,C+,0.238,D-,0.431,C-,0.629,B-,0.59,Medium,0.1303,Low,2013-14,Wing
Shaun Livingston,Shaun Livingston,PG,BRK,"2,299",28,7-Jun,175,Tall Creators,0.272,D,0.628,B-,0.771,B+,0.49,C,0.809,A-,0.57,C+,0.929,A,0.728,B,0.747,B+,0.602,B-,0.377,D+,0.669,Medium,0.6705,High,2013-14,Guard
DeMarcus Cousins,DeMarcus Cousins,C,SAC,"2,298",23,11-Jun,270,Versatile Bigs,0.241,D-,0.748,B+,0.954,A,0.989,A,0.983,A,0.909,A,0.994,A,0.615,B-,0.904,A,0.832,A-,0.928,A,0.954,High,0.461,Medium,2013-14,Big
Andre Iguodala,Andre Iguodala,SF,GSW,"2,288",30,6-Jun,207,Glue Guys,0.712,B,0.672,B,0.684,B,0.804,A-,0.792,B+,0.911,A,0.89,A-,0.758,B+,0.457,C-,0.424,C-,0.605,B-,0.585,Medium,0.4418,Medium,2013-14,Wing
Kirk Hinrich,Kirk Hinrich,PG,CHI,"2,283",33,4-Jun,190,Primary Creators,0.743,B+,0.694,B,0.489,C,0.229,D-,0.306,D,0.67,B,0.374,D+,0.765,B+,0.761,B+,0.18,F,0.3,D,0.764,Medium,0.5128,High,2013-14,Guard
Marc Gasol,Marc Gasol,C,MEM,"2,269",29,1-Jul,265,Versatile Bigs,0.299,D,0.256,D-,0.79,B+,0.863,A-,0.861,A-,0.909,A,0.933,A,0.333,D,0.815,A-,0.542,C+,0.826,A-,0.815,Medium,0.4787,Medium,2013-14,Big
Brandon Bass,Brandon Bass,PF,BOS,"2,266",29,8-Jun,250,Versatile Bigs,0.284,D,0.514,C,0.865,A-,0.621,B-,0.83,A-,0.271,D,0.969,A,0.308,D,0.668,B,0.702,B,0.694,B,0.68,Medium,0.4104,Medium,2013-14,Big
Trey Burke,Trey Burke,PG,UTA,"2,262",21,1-Jun,190,Primary Creators,0.724,B,0.378,D+,0.457,C-,0.277,D,0.185,F,0.93,A,0.158,F,0.401,C-,0.307,D,0.228,D-,0.472,C,0.878,High,0.5658,High,2013-14,Guard
Carlos Boozer,Carlos Boozer,PF,CHI,"2,262",32,9-Jun,266,Versatile Bigs,0.212,D-,0.32,D,0.921,A,0.634,B-,0.484,C,0.613,B-,0.407,C-,0.331,D,0.558,C+,0.638,B-,0.994,A,0.85,High,0.3608,Medium,2013-14,Big
Jarrett Jack,Jarrett Jack,PG,CLE,"2,252",30,3-Jun,200,Primary Creators,0.788,B+,0.191,F,0.748,B+,0.179,F,0.154,F,0.732,B,0.127,F,0.45,C-,0.478,C,0.07,F,0.224,D-,0.762,Medium,0.5892,High,2013-14,Wing
Wesley Johnson,Wesley Johnson,SF,LAL,"2,240",26,7-Jun,215,Tall Spot-up Wings,0.844,A-,0.736,B,0.437,C-,0.479,C,0.8,B+,0.591,C+,0.703,B,0.547,C+,0.331,D,0.458,C-,0.344,D+,0.577,Medium,0.1765,Low,2013-14,Wing
Jeremy Lin,Jeremy Lin,PG,HOU,"2,231",25,3-Jun,200,Secondary Creators,0.77,B+,0.796,B+,0.717,B,0.719,B,0.235,D-,0.945,A,0.143,F,0.627,B-,0.776,B+,0.137,F,0.077,F,0.795,Medium,0.5031,High,2013-14,Guard
Ty Lawson,Ty Lawson,PG,DEN,"2,222",26,11-May,195,Mega Creators,0.732,B,0.349,D+,0.649,B-,0.558,C+,0.345,D+,0.983,A,0.405,C-,0.569,C+,0.338,D,0.161,F,0.325,D,0.918,High,0.7689,High,2013-14,Guard
Terrence Jones,Terrence Jones,PF,HOU,"2,216",22,9-Jun,252,Glue Guys,0.515,C,0.557,C+,0.8,B+,0.963,A,0.938,A,0.466,C,0.94,A,0.352,D+,0.564,C+,0.799,B+,0.692,B,0.648,Medium,0.222,Low,2013-14,Big
Ramon Sessions,Ramon Sessions,PG,CHO,"2,214",28,3-Jun,190,Primary Creators,0.527,C,0.617,B-,0.904,A,0.514,C,0.53,C,0.847,A-,0.152,F,0.534,C,0.309,D,0.275,D,0.547,C+,0.848,Medium,0.5819,High,2013-14,Guard
Luol Deng,Luol Deng,SF,CLE,"2,213",29,9-Jun,220,Glue Guys,0.589,C+,0.69,B,0.615,B-,0.795,B+,0.647,B-,0.817,A-,0.936,A,0.564,C+,0.55,C+,0.611,B-,0.706,B,0.806,Medium,0.3318,Medium,2013-14,Wing
Richard Jefferson,Richard Jefferson,SF,UTA,"2,213",34,7-Jun,234,Spot-up Wings,0.959,A,0.813,A-,0.857,A-,0.845,A-,0.534,C,0.726,B,0.873,A-,0.453,C-,0.389,D+,0.05,F,0.493,C,0.636,Medium,0.1734,Low,2013-14,Wing
Derrick Favors,Derrick Favors,PF,UTA,"2,201",22,10-Jun,268,Versatile Bigs,0.002,F,0.291,D,0.301,D,0.95,A,0.973,A,0.254,D-,0.491,C,0.467,C,0.826,A-,0.77,B+,0.903,A,0.755,Medium,0.3644,Medium,2013-14,Big
Courtney Lee,Courtney Lee,SG,MEM,"2,197",28,5-Jun,200,Spot-up Wings,0.801,A-,0.886,A-,0.917,A,0.671,B,0.439,C-,0.65,B-,0.233,D-,0.569,C+,0.378,D+,0.207,D-,0.244,D-,0.606,Medium,0.3198,Medium,2013-14,Guard
Alec Burks,Alec Burks,SG,UTA,"2,193",22,6-Jun,211,Primary Creators,0.654,B-,0.983,A,0.992,A,0.889,A-,0.453,C-,0.652,B-,0.304,D,0.69,B,0.245,D-,0.518,C,0.389,D+,0.85,High,0.5382,High,2013-14,Guard
Ben McLemore,Ben McLemore,SG,SAC,"2,187",21,5-Jun,195,Movement Wings,0.689,B,0.393,D+,0.416,C-,0.44,C-,0.568,C+,0.208,D-,0.528,C,0.436,C-,0.493,C,0.352,D+,0.209,D-,0.572,Medium,0.1777,Low,2013-14,Wing
Danny Green,Danny Green,SG,SAS,"2,180",27,6-Jun,215,Spot-up Wings,0.973,A,0.977,A,0.403,C-,0.292,D,0.343,D+,0.382,D+,0.53,C,0.823,A-,0.59,C+,0.282,D,0.464,C,0.547,Low,0.1535,Low,2013-14,Wing
Jameer Nelson,Jameer Nelson,PG,ORL,"2,179",32,6-0,190,Primary Creators,0.851,A-,0.906,A,0.536,C,0.51,C,0.21,D-,0.979,A,0.189,F,0.396,D+,0.171,F,0.263,D,0.516,C,0.845,Medium,0.628,High,2013-14,Guard
Kenneth Faried,Kenneth Faried,PF,DEN,"2,178",24,8-Jun,228,Versatile Bigs,0.214,D-,0.848,A-,0.705,B,0.952,A,0.892,A-,0.356,D+,0.981,A,0.473,C,0.732,B,0.934,A,0.94,A,0.749,Medium,0.3285,Medium,2013-14,Wing
Kevin Martin,Kevin Martin,SG,MIN,"2,177",31,7-Jun,197,Glue Guys,0.923,A,0.863,A-,0.958,A,0.499,C,0.545,C+,0.634,B-,0.688,B,0.661,B,0.278,D,0.097,F,0.714,B,0.837,Medium,0.4227,Medium,2013-14,Wing
Vince Carter,Vince Carter,SG,DAL,"2,163",37,6-Jun,220,Secondary Creators,0.946,A,0.792,B+,0.985,A,0.403,C-,0.742,B+,0.881,A-,0.746,B+,0.64,B-,0.445,C-,0.509,C,0.362,D+,0.79,Medium,0.5465,High,2013-14,Wing
Markieff Morris,Markieff Morris,PF,PHO,"2,153",24,10-Jun,245,Versatile Bigs,0.529,C,0.358,D+,0.861,A-,0.852,A-,0.94,A,0.839,A-,0.973,A,0.382,D+,0.265,D,0.797,B+,0.783,B+,0.785,Medium,0.4935,Medium,2013-14,Big
Russell Westbrook,Russell Westbrook,PG,OKC,"2,147",25,3-Jun,200,Mega Creators,0.649,B-,0.328,D,0.854,A-,0.68,B,0.684,B,0.977,A,0.694,B,0.698,B,0.456,C-,0.588,C+,0.77,B+,0.916,High,0.7521,High,2013-14,Guard
Matt Barnes,Matt Barnes,SF,LAC,"2,139",34,7-Jun,226,Tall Spot-up Wings,0.734,B,0.41,C-,0.665,B,0.667,B,0.757,B+,0.754,B+,0.913,A,0.558,C+,0.183,F,0.673,B,0.526,C,0.574,Medium,0.1586,Low,2013-14,Wing
Enes Kanter,Enes Kanter,C,UTA,"2,138",22,11-Jun,247,Versatile Bigs,0.178,F,0.245,D-,0.516,C,0.954,A,0.794,B+,0.297,D,0.624,B-,0.193,F,0.731,B,0.942,A,0.733,B,0.768,Medium,0.3717,Medium,2013-14,Big
Manu Ginobili,Manu Ginobili,SG,SAS,"2,136",36,6-Jun,205,Secondary Creators,0.749,B+,0.852,A-,0.938,A,0.928,A,0.335,D,0.973,A,0.73,B,0.697,B,0.49,C,0.273,D,0.495,C,0.795,Medium,0.4769,Medium,2013-14,Wing
D.J. Augustin,D.J. Augustin,PG,CHI,"2,080",26,6-0,183,Primary Creators,0.977,A,0.99,A,0.53,C,0.314,D,0.266,D,0.774,B+,0.146,F,0.461,C,0.289,D,0.075,F,0.199,F,0.865,High,0.5906,High,2013-14,Guard
DJ Augustin,D.J. Augustin,PG,TOR,"2,080",26,6-0,183,Primary Creators,0.977,A,0.112,F,0.453,C-,0.314,D,0,F,0.774,B+,0,F,0.461,C,0.289,D,0.075,F,0.199,F,0.531,Low,0.6667,High,2013-14,Guard
Dion Waiters,Dion Waiters,SG,CLE,"2,072",22,4-Jun,225,Mega Creators,0.871,A-,0.63,B-,0.64,B-,0.388,D+,0.349,D+,0.723,B,0.865,A-,0.736,B,0.477,C,0.188,F,0.371,D+,0.861,High,0.6538,High,2013-14,Wing
Tayshaun Prince,Tayshaun Prince,SF,MEM,"2,061",34,9-Jun,215,Tall Spot-up Wings,0.481,C,0.341,D+,0.353,D+,0.721,B,0.57,C+,0.593,C+,0.383,D+,0.502,C,0.579,C+,0.126,F,0.745,B+,0.493,Low,0.3398,Medium,2013-14,Wing
Eric Gordon,Eric Gordon,SG,NOP,"2,057",25,4-Jun,215,Primary Creators,0.884,A-,0.597,C+,0.827,A-,0.569,C+,0.274,D,0.925,A,0.393,D+,0.558,C+,0.158,F,0.174,F,0.304,D,0.794,Medium,0.55,High,2013-14,Wing
Al Farouq Aminu,Al-Farouq Aminu,SF,NOP,"2,045",23,9-Jun,215,Glue Guys,0.44,C-,0.944,A,0.732,B,0.81,A-,0.834,A-,0.439,C-,0.667,B,0.537,C,0.348,D+,0.826,A-,0.907,A,0.513,Low,0.1783,Low,2013-14,Wing
Jared Sullinger,Jared Sullinger,PF,BOS,"2,041",22,9-Jun,260,Versatile Bigs,0.554,C+,0.297,D,0.63,B-,0.832,A-,0.825,A-,0.64,B-,0.545,C+,0.244,D-,0.784,B+,0.983,A,0.876,A-,0.813,Medium,0.3442,Medium,2013-14,Big
Alan Anderson,Alan Anderson,SF,BRK,"2,034",31,6-Jun,220,Spot-up Wings,0.759,B+,0.782,B+,0.892,A-,0.588,C+,0.385,D+,0.38,D+,0.574,C+,0.645,B-,0.457,C-,0.387,D+,0.126,F,0.496,Low,0.3132,Medium,2013-14,Wing
Tyreke Evans,Tyreke Evans,SF,NOP,"2,028",24,6-Jun,220,Mega Creators,0.479,C,0.337,D,0.782,B+,0.627,B-,0.368,D+,0.97,A,0.538,C,0.745,B+,0.416,C-,0.402,C-,0.563,C+,0.886,High,0.7394,High,2013-14,Wing
Draymond Green,Draymond Green,SF,GSW,"2,025",24,7-Jun,230,Pick + Pop Bigs,0.602,B-,0.326,D,0.432,C-,0.505,C,0.715,B,0.812,A-,0.696,B,0.719,B,0.784,B+,0.665,B,0.772,B+,0.537,Low,0.1644,Low,2013-14,Wing
Maurice Williams,Mo Williams,PG,POR,"2,021",31,1-Jun,195,Primary Creators,0.865,A-,0.919,A,0.586,C+,0.216,D-,0.283,D,0.932,A,0.173,F,0.38,D+,0.439,C-,0.371,D+,0.046,F,0.784,Medium,0.6078,High,2013-14,Guard
Raymond Felton,Raymond Felton,PG,NYK,"2,017",30,1-Jun,205,Primary Creators,0.606,B-,0.638,B-,0.518,C,0.386,D+,0.441,C-,0.953,A,0.254,D-,0.595,C+,0.58,C+,0.379,D+,0.271,D,0.787,Medium,0.6268,High,2013-14,Guard
Jason Thompson,Jason Thompson,PF,SAC,"2,007",27,11-Jun,250,Versatile Bigs,0.002,F,0.443,C-,0.214,D-,0.948,A,0.923,A,0.096,F,0.524,C,0.315,D,0.841,A-,0.739,B,0.936,A,0.514,Low,0.3647,Medium,2013-14,Big
Greivis Vasquez,Greivis Vasquez,PG,TOR,"1,969",27,6-Jun,211,Primary Creators,0.88,A-,0.967,A,0.553,C+,0.288,D,0.183,F,0.823,A-,0.489,C,0.584,C+,0.484,C,0.101,F,0.375,D+,0.8,Medium,0.5288,High,2013-14,Guard
Miles Plumlee,Miles Plumlee,C,PHO,"1,964",25,11-Jun,255,Versatile Bigs,0.002,F,0.682,B,0.505,C,0.898,A-,0.965,A,0.079,F,0.435,C-,0.46,C-,0.901,A,0.843,A-,0.872,A-,0.564,Medium,0.391,Medium,2013-14,Big
Iman Shumpert,Iman Shumpert,SG,NYK,"1,962",24,5-Jun,220,Secondary Creators,0.668,B,0.146,F,0.551,C+,0.316,D,0.68,B,0.474,C,0.306,D,0.754,B+,0.34,D,0.654,B-,0.652,B-,0.507,Low,0.3518,Medium,2013-14,Wing
Patrick Beverley,Patrick Beverley,PG,HOU,"1,953",25,1-Jun,185,Secondary Creators,0.809,A-,0.376,D+,0.578,C+,0.344,D+,0.422,C-,0.432,C-,0.293,D,0.756,B+,0.745,B+,0.704,B,0.263,D,0.589,Medium,0.3887,Medium,2013-14,Guard
Maurice Harkless,Maurice Harkless,SF,ORL,"1,950",21,9-Jun,220,Glue Guys,0.79,B+,0.9,A-,0.609,B-,0.477,C,0.788,B+,0.326,D,0.838,A-,0.746,B+,0.249,D-,0.698,B,0.58,C+,0.485,Low,0.2395,Low,2013-14,Wing
Rodney Stuckey,Rodney Stuckey,SG,DET,"1,950",28,5-Jun,205,Tall Creators,0.496,C,0.116,F,0.983,A,0.817,A-,0.578,C+,0.754,B+,0.854,A-,0.465,C,0.264,D,0.195,F,0.159,F,0.798,Medium,0.6085,High,2013-14,Wing
Wilson Chandler,Wilson Chandler,SF,DEN,"1,927",27,8-Jun,225,Spot-up Wings,0.857,A-,0.653,B-,0.836,A-,0.691,B,0.73,B,0.713,B,0.836,A-,0.466,C,0.719,B,0.391,D+,0.594,C+,0.699,Medium,0.3179,Medium,2013-14,Wing
Jordan Crawford,Jordan Crawford,PG,GSW,"1,916",25,4-Jun,195,Mega Creators,0.697,B,0.854,A-,0.852,A-,0.449,C-,0.206,D-,0.72,B,0.493,C,0.404,C-,0.317,D,0.232,D-,0.422,C-,0.801,Medium,0.7139,High,2013-14,Guard
Giannis Antetokounmpo,Giannis Antetokounmpo,SF,MIL,"1,897",19,9-Jun,205,Tall Creators,0.62,B-,0.243,D-,0.667,B,0.399,D+,0.669,B,0.41,C-,0.605,B-,0.655,B-,0.859,A-,0.642,B-,0.424,C-,0.574,Medium,0.3585,Medium,2013-14,Wing
Nene Hilario,Nene,PF,WAS,"1,885",31,11-Jun,250,Versatile Bigs,0.313,D,0.457,C-,0.859,A-,0.76,B+,0.597,C+,0.883,A-,0.297,D,0.626,B-,0.544,C+,0.406,C-,0.675,B,0.761,Medium,0.4918,Medium,2013-14,Big
Pau Gasol,Pau Gasol,C,LAL,"1,884",33,7-0,250,Versatile Bigs,0.328,D,0.399,D+,0.669,B,0.865,A-,0.954,A,0.906,A,0.418,C-,0.261,D,0.592,C+,0.71,B,0.896,A-,0.881,High,0.5103,High,2013-14,Big
Mike Miller,Mike Miller,SF,MEM,"1,880",34,8-Jun,218,Movement Wings,0.985,A,0.73,B,0.644,B-,0.207,D-,0.393,D+,0.609,B-,0.231,D-,0.293,D,0.411,C-,0.416,C-,0.573,C+,0.497,Low,0.1008,Low,2013-14,Wing
Patty Mills,Patty Mills,PG,SAS,"1,878",25,6-0,185,Secondary Creators,0.988,A,0.755,B+,0.634,B-,0.647,B-,0.247,D-,0.594,C+,0.168,F,0.683,B,0.484,C,0.381,D+,0.414,C-,0.707,Medium,0.4551,Medium,2013-14,Guard
Marcus Thornton,Marcus Thornton,SG,SAC,"1,865",27,4-Jun,205,Glue Guys,0.751,B+,0.476,C,0.682,B,0.368,D+,0.397,D+,0.462,C,0.881,A-,0.652,B-,0.254,D-,0.615,B-,0.317,D,0.604,Medium,0.3503,Medium,2013-14,Wing
John Henson,John Henson,PF,MIL,"1,856",23,11-Jun,220,Versatile Bigs,0.162,F,0.605,B-,0.318,D,0.919,A,0.884,A-,0.609,B-,0.522,C,0.372,D+,0.739,B,0.905,A,0.696,B,0.701,Medium,0.3693,Medium,2013-14,Big
Avery Bradley,Avery Bradley,SG,BOS,"1,855",23,2-Jun,180,Secondary Creators,0.894,A-,0.455,C-,0.734,B,0.575,C+,0.709,B,0.3,D,0.314,D,0.597,C+,0.358,D+,0.321,D,0.555,C+,0.763,Medium,0.3768,Medium,2013-14,Guard
Tobias Harris,Tobias Harris,PF,ORL,"1,850",21,9-Jun,235,Glue Guys,0.519,C,0.842,A-,0.967,A,0.887,A-,0.904,A,0.602,B-,0.938,A,0.303,D,0.421,C-,0.679,B,0.774,B+,0.726,Medium,0.3325,Medium,2013-14,Wing
Caron Butler,Caron Butler,SF,OKC,"1,838",34,7-Jun,228,Spot-up Wings,0.936,A,0.634,B-,0.547,C+,0.129,F,0.443,C-,0.364,D+,0.871,A-,0.521,C,0.531,C,0.135,F,0.72,B,0.587,Medium,0.3072,Medium,2013-14,Wing
Thabo Sefolosha,Thabo Sefolosha,SG,OKC,"1,820",30,7-Jun,222,Spot-up Wings,0.591,C+,0.744,B+,0.364,D+,0.58,C+,0.771,B+,0.521,C,0.819,A-,0.88,A-,0.549,C+,0.505,C,0.7,B,0.381,Low,0.1607,Low,2013-14,Wing
Glen Davis,Glen Davis,PF,ORL,"1,820",28,9-Jun,289,Versatile Bigs,0.336,D,0.37,D+,0.41,C-,0.623,B-,0.588,C+,0.269,D,0.701,B,0.374,D+,0.811,A-,0.656,B-,0.557,C+,0.618,Medium,0.3269,Medium,2013-14,Big
Derrick Williams,Derrick Williams,PF,SAC,"1,820",23,8-Jun,240,Glue Guys,0.504,C,0.543,C+,0.823,A-,0.706,B,0.867,A-,0.249,D-,0.719,B,0.554,C+,0.406,C-,0.576,C+,0.716,B,0.522,Low,0.3203,Medium,2013-14,Wing
Nikola Vucevic,Nikola Vucevic,C,ORL,"1,812",23,7-0,250,Versatile Bigs,0.002,F,0.78,B+,0.474,C,0.895,A-,0.624,B-,0.345,D+,0.653,B-,0.374,D+,0.752,B+,0.971,A,0.983,A,0.755,Medium,0.348,Medium,2013-14,Big
Nick Young,Nick Young,SG,LAL,"1,810",29,7-Jun,210,Secondary Creators,0.975,A,0.721,B,0.89,A-,0.599,C+,0.663,B,0.453,C-,0.844,A-,0.581,C+,0.453,C-,0.296,D,0.261,D,0.808,Medium,0.4835,Medium,2013-14,Wing
John Salmons,John Salmons,SF,TOR,"1,803",34,6-Jun,207,Secondary Creators,0.832,A-,0.079,F,0.387,D+,0.081,F,0.252,D-,0.735,B,0.222,D-,0.615,B-,0.537,C,0.12,F,0.182,F,0.433,Low,0.492,Medium,2013-14,Wing
Marcus Morris,Marcus Morris,SF,PHO,"1,800",24,9-Jun,235,Glue Guys,0.886,A-,0.89,A-,0.568,C+,0.669,B,0.611,B-,0.583,C+,0.842,A-,0.547,C+,0.519,C,0.631,B-,0.619,B-,0.644,Medium,0.4163,Medium,2013-14,Wing
Anderson Varejao,Anderson Varejao,C,CLE,"1,800",31,11-Jun,267,Roll + Cut Bigs,0.253,D-,0.661,B,0.894,A-,0.532,C,0.674,B,0.743,B+,0.74,B+,0.611,B-,0.905,A,0.886,A-,0.986,A,0.57,Medium,0.1577,Low,2013-14,Big
Andray Blatche,Andray Blatche,PF,BRK,"1,790",27,11-Jun,260,Versatile Bigs,0.469,C,0.216,D-,0.915,A,0.932,A,0.813,A-,0.756,B+,0.956,A,0.513,C,0.594,C+,0.865,A-,0.814,A-,0.751,Medium,0.3508,Medium,2013-14,Big
Tiago Splitter,Tiago Splitter,C,SAS,"1,787",29,11-Jun,245,Versatile Bigs,0.224,D-,0.732,B,0.247,D-,0.747,B+,0.906,A,0.49,C,0.615,B-,0.418,C-,0.974,A,0.859,A-,0.778,B+,0.51,Low,0.2096,Low,2013-14,Big
Jared Dudley,Jared Dudley,SF,LAC,"1,774",28,7-Jun,225,Spot-up Wings,0.741,B+,0.915,A,0.316,D,0.133,F,0.472,C,0.582,C+,0.486,C,0.409,C-,0.693,B,0.259,D-,0.201,D-,0.438,Low,0.0622,Low,2013-14,Wing
Timofey Mozgov,Timofey Mozgov,C,DEN,"1,770",27,1-Jul,250,Versatile Bigs,0.349,D+,0.451,C-,0.383,D+,0.741,B+,0.956,A,0.175,F,0.578,C+,0.338,D,0.943,A,0.752,B+,0.882,A-,0.625,Medium,0.2996,Medium,2013-14,Big
Andrew Bogut,Andrew Bogut,C,GSW,"1,769",29,7-0,260,Roll + Cut Bigs,0.002,F,0.688,B,0.289,D,0.885,A-,0.967,A,0.599,C+,0.588,C+,0.407,C-,0.974,A,0.909,A,0.979,A,0.446,Low,0.126,Low,2013-14,Big
Tony Wroten,Tony Wroten,PG,PHI,"1,765",21,6-Jun,205,Primary Creators,0.517,C,0.836,A-,0.844,A-,0.688,B,0.499,C,0.823,A-,0.813,A-,0.619,B-,0.359,D+,0.551,C+,0.282,D,0.845,Medium,0.5781,High,2013-14,Guard
Samuel Dalembert,Samuel Dalembert,C,DAL,"1,749",34,11-Jun,250,Roll + Cut Bigs,0.145,F,0.507,C,0.285,D,0.723,B,0.909,A,0.135,F,0.57,C+,0.442,C-,0.913,A,0.954,A,0.884,A-,0.428,Low,0.0333,Low,2013-14,Big
Hollis Thompson,Hollis Thompson,SF,PHI,"1,742",23,8-Jun,206,Tall Spot-up Wings,0.849,A-,0.742,B+,0.769,B+,0.495,C,0.622,B-,0.387,D+,0.31,D,0.665,B,0.386,D+,0.65,B-,0.6,B-,0.375,Low,0.0927,Low,2013-14,Wing
Patrick Patterson,Patrick Patterson,PF,TOR,"1,732",25,9-Jun,235,Pick + Pop Bigs,0.68,B,0.723,B,0.541,C+,0.612,B-,0.85,A-,0.405,C-,0.699,B,0.574,C+,0.857,A-,0.772,B+,0.621,B-,0.554,Medium,0.0925,Low,2013-14,Big
Derek Fisher,Derek Fisher,SG,OKC,"1,727",39,1-Jun,210,Spot-up Wings,0.921,A,0.613,B-,0.389,D+,0.074,F,0.102,F,0.717,B,0.204,D-,0.612,B-,0.257,D-,0.112,F,0.296,D,0.417,Low,0.3,Medium,2013-14,Guard
Chris Andersen,Chris Andersen,C,MIA,"1,713",35,10-Jun,245,Roll + Cut Bigs,0.309,D,0.586,C+,0.407,C-,0.926,A,0.988,A,0.072,F,0.68,B,0.473,C,0.943,A,0.894,A-,0.489,C,0.363,Low,0.0388,Low,2013-14,Big
Trevor Booker,Trevor Booker,PF,WAS,"1,699",26,8-Jun,235,Versatile Bigs,0.232,D-,0.576,C+,0.655,B-,0.922,A,0.879,A-,0.158,F,0.909,A,0.437,C-,0.285,D,0.888,A-,0.449,C-,0.452,Low,0.2653,Medium,2013-14,Big
Jerryd Bayless,Jerryd Bayless,PG,BOS,"1,686",25,3-Jun,200,Primary Creators,0.813,A-,0.2,F,0.549,C+,0.198,F,0.281,D,0.714,B,0.148,F,0.484,C,0.113,F,0.323,D,0.151,F,0.715,Medium,0.511,High,2013-14,Guard
Marvin Williams,Marvin Williams,PF,UTA,"1,674",28,9-Jun,237,Tall Spot-up Wings,0.728,B,0.767,B+,0.825,A-,0.935,A,0.744,B+,0.487,C,0.886,A-,0.427,C-,0.542,C+,0.634,B-,0.718,B,0.555,Medium,0.0774,Low,2013-14,Big
Shane Battier,Shane Battier,SF,MIA,"1,670",35,8-Jun,220,Spot-up Wings,0.685,B,0.383,D+,0.291,D,0.118,F,0.511,C,0.118,F,0.632,B-,0.596,C+,0.803,A-,0.468,C,0.05,F,0.302,Low,0.0482,Low,2013-14,Wing
Brian Roberts,Brian Roberts,PG,NOP,"1,667",28,1-Jun,173,Primary Creators,0.799,B+,0.888,A-,0.759,B+,0.155,F,0.287,D,0.698,B,0.131,F,0.414,C-,0.26,D-,0.064,F,0.238,D-,0.736,Medium,0.6155,High,2013-14,Guard
Nikola Pekovic,Nikola Pekovic,C,MIN,"1,663",28,11-Jun,285,Versatile Bigs,0.002,F,0.603,B-,0.143,F,0.917,A,0.913,A,0.24,D-,1,A,0.272,D,0.729,B,0.979,A,0.901,A,0.707,Medium,0.4833,Medium,2013-14,Big
Tyson Chandler,Tyson Chandler,C,NYK,"1,662",31,1-Jul,240,Roll + Cut Bigs,0.189,F,0.503,C,0.622,B-,0.841,A-,0.985,A,0.268,D,0.83,A-,0.37,D+,0.747,B+,0.876,A-,0.944,A,0.442,Low,0.0852,Low,2013-14,Big
Luis Scola,Luis Scola,PF,IND,"1,642",34,9-Jun,240,Pick + Pop Bigs,0.295,D,0.331,D,0.753,B+,0.664,B,0.553,C+,0.535,C,0.536,C,0.431,C-,0.676,B,0.694,B,0.967,A,0.668,Medium,0.151,Low,2013-14,Big
Jeremy Lamb,Jeremy Lamb,SG,OKC,"1,638",22,5-Jun,185,Movement Wings,0.766,B+,0.678,B,0.68,B,0.739,B,0.595,C+,0.808,A-,0.385,D+,0.727,B,0.547,C+,0.354,D+,0.416,C-,0.578,Medium,0.305,Medium,2013-14,Wing
Dante Cunningham,Dante Cunningham,PF,MIN,"1,635",27,8-Jun,221,Pick + Pop Bigs,0.239,D-,0.385,D+,0.557,C+,0.819,A-,0.728,B,0.36,D+,0.356,D+,0.478,C,0.495,C,0.76,B+,0.257,D-,0.514,Low,0.0165,Low,2013-14,Big
